一心,30,花儿,43
只求,30,虽说,43
安静,30,告诉我,43
留神,30,门口,43
门子,30,贾瑞,43
多早晚,30,便要,43
想必,30,一点儿,43
下面,30,体面,43
院中,30,了好些,43
小红,29,缘故,43
一月,29,婶婶,43
饭后,29,二字,43
桂花,29,话儿,43
意欲,29,他二人,42
没脸,29,如此说,42
知是,29,把他,42
一直,29,有事,42
顽话,29,去呢,42
令人,29,磕头,42
终久,29,造化,42
箱子,29,又不敢,42
尤氏笑,29,角门,42
管事,29,四人,42
不足,29,淘气,42
桃花,29,再说,42
痛哭,29,歇息,41
细看,29,既这样,41
打扮,29,一语未了,41
点点头,29,茶来,41
悄悄,29,比不得,41
满面,29,瞧了,41
不顾,29,桌上,41
几两,29,同着,41
人物,29,房子,41
烦恼,29,拍手,41
点子,29,不管,41
转过,29,只当,41
那府,29,添了,41
惜春道,29,端的,41
孙子,29,操心,41
何等,29,定要,41
那位,29,你这,41
十个,29,之物,41
去取,29,好歹,41
饮食,29,可惜,41
娘儿们,28,留着,41
要死,28,偏生,41
无话,28,倒好,41
劝解,28,辞了,41
此刻,28,你说,41
一家子,28,渐渐的,41
理论,28,老婆,40
红玉,28,儿的,40
心上,28,再者,40
姐妹,28,阿弥陀佛,40
好人,28,之时,40
袭人忙,28,不可,40
有时,28,也难,40
恍惚,28,一首,40
兴头,28,是我,40
宁国府,28,金钏儿,40
我且,28,有一个,40
口内,28,针线,40
得意,28,故意,40
宁府,28,自去,40
他些,28,口里,40
两处,28,又将,40
二两,28,邢王二,40
我家,28,师父,40
人口,28,件事,40
之中,28,赶忙,40
薛宝钗,28,急的,40
元妃,28,我倒,40
心想,28,偶然,40
薛家,28,找了,40
可不,28,就有,40
之心,28,名字,39
算是,28,看他,39
老婆,28,门前,39
一两,28,姑妈,39
难为,28,倪二,39
心内,28,疑惑,39
问起,28,在傍,39
想想,27,带领,39
甄家,27,你只,39
无不,27,只因,39
女尼,27,之处,39
朋友,27,柳家的,39
秋桐,27,让我,39
一个月,27,一天,39
两口,27,都笑了,39
贾政又,27,那里去,39
果见,27,必要,39
世人,27,之后,39
由不得,27,打发人来,39
一手,27,不在,39
形容,27,弟兄,39
同着,27,还说,39
忙命,27,也好,39
问宝玉,27,幸而,39
央告,27,妥当,39
李十儿,27,怨不得,39
嬷嬷,27,这些话,39
剩下,27,并没,39
彩屏,27,倒像,39
清楚,27,可不,39
若论,27,他去,39
取乐,27,名儿,39
亲事,27,张华,38
贾政笑,27,使人,38
百般,27,那些人,38
男女,27,幸亏,38
调唆,27,不妨,38
旨意,27,到那里,38
当铺,27,会意,38
往外,27,何曾,38
想不到,27,颜色,38
外边,27,作诗,38
上前,27,宁府,38
大喜,27,老人家,38
止住,27,照管,38
无法,27,也罢,38
该死,27,才要,38
手中,27,梳洗,38
子们,27,板儿,38
王善保,26,无人,38
好笑,26,见过,38
议论,26,巴不得,38
更觉,26,环儿,38
人道,26,想了,38
无可,26,法子,38
打扫,26,口气,38
汗巾,26,能够,38
闷闷,26,一辈子,38
金银,26,守着,38
姥姥,26,菩萨,38
诸人,26,混说,38
烟道,26,进入,37
有话,26,倒要,37
智能,26,瞅着,37
张华,26,原不,37
吵嚷,26,众人都道,37
眼前,26,行事,37
坐坐,26,精神,37
几件,26,妹子,37
你老,26,我只,37
分明,26,这般,37
含笑,26,等他,37
姑爷,26,更好,37
娶亲,26,四字,37
炕沿,26,跑到,37
管家,26,你老人家,37
走上,26,南边,37
之外,26,本来,37
匣子,26,拿出来,37
深知,26,的心,37
东边,26,偏又,37
五更,26,乃是,37
摇头,26,执事,37
方子,26,梅花,37
一对,26,顽笑,37
我作,26,就不,37
两家,25,之人,37
一段,25,独有,37
原该,25,但是,37
那人道,25,诸事,37
一家,25,使唤,36
一大,25,待要,36
胭脂,25,即刻,36
对联,25,轻轻的,36
哭道,25,婆婆,36
早饭,25,聪明,36
混说,25,夫妻,36
不容,25,赶来,36
半晌,25,这些事,36
凤姐姐,25,几句,36
说不出来,25,坠儿,36
盒子,25,作的,36
打着,25,而且,36
伙计,25,劝他,36
往后,25,我这,36
出事,25,把你,36
主人,25,模样儿,36
人才,25,园内,36
自幼,25,一遍,36
我见,25,你可,36
欺负,25,病着,36
贾芸道,25,小红,36
撒谎,25,当着,36
含泪,25,并没有,36
恩典,25,所有的,36
生事,25,站住,36
记挂着,25,走至,36
放着,25,不像,36
夜间,25,他母亲,35
寂寞,25,很是,35
柳湘莲,25,安歇,35
一只,25,昨夜,35
扎挣,25,糊涂了,35
顽耍,24,你去,35
安心,24,哭的,35
并未,24,这么说,35
不大好,24,这几年,35
彩霞,24,海棠,35
不说,24,抬头,35
聪明,24,忙忙的,35
方知,24,尤三姐,35
王太医,24,上了,35
张道士,24,那边去,35
府上,24,一路,35
省亲,24,了些,35
路上,24,扶着,35
收着,24,秋桐,35
进园,24,娶了,35
此处,24,开门,35
娘儿,24,打开,35
十二,24,多心,35
不妥,24,搁在,35
院子,24,立刻,35
房屋,24,让他,35
回避,24,等事,35
着手,24,必定,35
王仁,24,用的,35
懂得,24,捧着,35
玻璃,24,伤感,35
大笑,24,外人,35
儿女,24,这会子又,35
一遭,24,倒了,35
等物,24,何苦来,34
虽是,24,一样的,34
不去,24,女孩子,34
一本,24,多了,34
几样,24,复又,34
怎么着,24,办事,34
可笑,24,题目,34
顽意儿,24,院中,34
房内,24,便起身,34
