比往常,6,334.467055,2.251629,2.584963,4.836592,1617.680569
比往年,5,278.722545,2.321928,2.000000,4.321928,1204.618800
比往日,8,400.353256,2.500000,2.807355,5.307355,2124.816822
比别,32,96.180742,4.102679,1.836897,5.939576,571.272836
比别的,10,101.941801,3.000000,2.921928,5.921928,603.692017
比别人,16,112.439638,3.452820,3.506891,6.959710,782.547285
比先,29,87.163798,4.061482,3.827833,7.889315,687.662640
比先前,5,165.269515,1.921928,1.921928,3.843856,635.272249
聚赌,5,1231.081037,1.921928,2.000000,3.921928,4828.211307
缀锦阁,5,8645.864057,2.321928,2.000000,4.321928,37366.802772
烫的,7,7133.829164,1.842371,2.321928,4.164299,29707.398283
烫了,14,14267.658329,2.978095,2.321928,5.300023,75618.917056
依旧,19,137.157989,3.321928,3.997670,7.319598,1003.941395
依言,13,48.754757,3.251629,3.277613,6.529243,318.331634
依然,11,18.880047,3.169925,3.169925,6.339850,119.696667
依依,6,34.159260,1.921928,1.792481,3.714409,126.881476
依我,80,19.206308,3.550341,2.873773,6.424114,123.383515
依你说,9,46.226489,1.000010,2.000000,3.000010,138.679928
依次,6,33.300988,2.251629,1.792481,4.044110,134.672871
停灵,10,1186.267984,3.321928,2.646439,5.968367,7080.083208
停放,8,949.014387,3.000000,2.584963,5.584963,5300.209763
停妥,6,711.760790,2.584963,1.584963,4.169925,2967.989114
停了,13,1542.148379,2.750000,2.507380,5.257380,8107.660201
颜色,38,9681.625294,4.057476,4.384517,8.441993,81732.214978
簌簌,5,42853.930908,1.370951,2.321928,3.692879,158254.368206
呵呵,9,12341.932102,2.947703,2.197160,5.144863,63497.543680
犹豫,7,7083.294365,2.807355,2.251629,5.058984,35834.273493
犹可,9,34.127221,2.725481,1.000010,3.725491,127.140640
犹未,31,294.741108,3.559998,3.689058,7.249056,2136.594862
穗子,7,30609.950649,1.664498,1.584963,3.249460,99465.818803
念过的,7,216.260183,2.521641,2.584963,5.106603,1104.354931
念佛,24,381.942343,3.757925,2.221252,5.979177,2283.700969
念书,54,198.017548,4.763669,3.503539,8.267208,1637.052321
念念,11,76.090076,3.459432,3.321928,6.781360,515.994177
正眼也不,6,148.807883,1.921928,1.251629,3.173557,472.250337
正月里,11,312.058788,1.960964,2.807355,4.768319,1487.995837
正遇见,5,32.848293,2.000000,2.321928,4.321928,141.967962
正在,126,54.088742,4.810443,5.440075,10.250518,554.437639
正在那里,22,49.960100,3.375000,4.368523,7.743523,386.867159
正想着,15,53.191839,2.235926,2.321928,4.557854,242.440659
正要,90,38.634816,3.788447,5.458303,9.246750,357.246474
正要问,8,26.744854,2.251629,2.155639,4.407268,117.871746
正是,143,61.386430,4.218129,5.430521,9.648650,592.296177
正没好气,5,119.433236,1.584963,1.000010,2.584973,308.731630
正经,112,48.078882,4.342787,4.623130,8.965917,431.071258
正经人,10,153.787342,2.321928,1.921928,4.243856,652.651363
正经话,6,92.272405,1.921928,2.584963,4.506891,415.861635
正经事,21,322.953418,3.118275,3.807355,6.925630,2236.655908
正经的,9,138.408608,2.947703,2.725481,5.673183,785.217407
正说,153,65.679187,2.607264,1.458146,4.065410,267.012833
正说着,119,83.169083,1.311278,1.584963,2.896241,240.877678
整衣,6,1020.129282,1.459148,2.000000,3.459148,3528.778080
整理,11,1870.237016,2.845351,2.947703,5.793054,10834.383498
整整,6,1020.129282,1.792481,1.792481,3.584963,3657.125221
客来,9,361.874065,2.725481,2.113283,4.838764,1751.023158
客去,5,201.041147,1.921928,1.921928,3.843856,772.773258
客都,5,201.041147,1.370951,1.921928,3.292879,662.004109
猛然,8,7618.476606,1.000010,2.750000,3.750010,28569.363457
待要,38,341.104382,2.251629,4.145972,6.397601,2182.249851
待人,12,107.717173,3.459432,3.169925,6.629357,714.095556
待他,31,278.269364,4.293661,3.856196,8.149857,2267.855522
待我,27,242.363640,3.128085,4.176753,7.304838,1770.427113
待你,11,98.740742,2.913977,2.947703,5.861680,578.786619
待说,8,71.811449,1.298795,1.148835,2.447630,175.767842
待贾,5,44.882156,2.000000,1.521928,3.521928,158.071724
待的,5,44.882156,2.321928,2.000000,4.321928,193.977449
拴着,6,10624.941547,2.321928,2.584963,4.906891,52135.425758
拴在,5,8854.117956,1.370951,1.921928,3.292879,29155.536331
竹椅,6,887.244946,1.792481,2.251629,4.044110,3588.116531
竹子,10,18.780263,3.121928,3.321928,6.443856,121.017314
骑着,5,3130.309051,2.321928,1.921928,4.243856,13284.581442
骑马,16,10016.988963,3.324863,3.521641,6.846504,68581.350937
骑上,7,4382.432671,2.251629,2.584963,4.836592,21196.037345
沏了,6,26237.100556,2.584963,1.918296,4.503258,118152.441759
稿子,6,9721.118543,1.792481,1.584963,3.377444,32832.531075
玲珑,12,71423.218180,3.459432,2.846439,6.305871,450385.597630
适才,6,14245.073986,1.584963,2.584963,4.169925,59400.890162
些家务,5,51.365159,1.370951,1.584963,2.955913,151.830945
些闲,37,47.628709,2.079112,1.004586,3.083698,146.872551
些闲话,31,126.497324,1.768960,2.750000,4.518960,571.636352
些混话,5,201.987662,1.370951,1.584963,2.955913,597.057976
些混帐,9,86.566141,1.351644,2.197160,3.548804,307.206253
些东西,62,40.925605,2.547840,4.168244,6.716084,274.859810
些东西来,5,71.974622,1.370951,1.000010,2.370961,170.648992
些瓜,5,41.767557,1.921928,1.921928,3.843856,160.548482
些银钱,6,63.785578,2.584963,2.000000,4.584963,292.454481
些邪,6,39.261503,2.251629,1.251629,3.503258,137.543189
些疯,9,43.623893,1.836592,1.351644,3.188236,139.083255
些没要紧的,10,271.543499,2.321928,2.370951,4.692879,1274.320700
些果子,5,33.664610,2.321928,2.321928,4.643856,156.333609
辉煌,13,22554.700478,2.653544,1.584963,4.238507,95598.251297
沁芳,27,24080.252539,2.781454,2.107135,4.888589,117718.449810
沁芳亭,12,1495.976478,2.188722,2.807355,4.996077,7474.013372
沁芳桥,7,872.652946,1.378783,1.792481,3.171265,2767.413520
复又,34,32.740306,3.121928,4.910992,8.032920,263.000270
复旧,5,81.897968,2.321928,1.500000,3.821928,313.008146
关切,6,225.537113,2.584963,1.370951,3.955913,892.205218
关着,5,187.947594,2.321928,1.000010,3.321938,624.350272
关系,14,526.253263,2.913977,2.921928,5.835905,3071.164138
关门,15,563.842782,3.664498,2.846439,6.510937,3671.144901
关上,8,300.716150,2.235926,2.000000,4.235926,1273.811466
关了,22,826.969414,3.749903,2.835238,6.585140,5445.709572
梦中,26,76.980627,3.507601,3.792377,7.299978,561.956881
